,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Type,Size,Weekly_Sales,markdown,Dep_type,Week
8,70.98,3.545,130.7909677,5.936,0,2,93188,48071.57,1,5,33
41,65.21,2.645,126.27916670000002,10.21,0,3,158114,67464.65,0,5,40
50,74.86,4.004,135.9639355,7.806,0,3,203819,75406.78,0,5,30
54,26.39,3.24,137.05424309999998,8.458,0,2,119557,60235.59,0,5,5
72,85.26,3.227,221.52150640000002,6.565,0,2,140167,48490.86,1,5,27
105,77.47,3.8289999999999997,208.6564699,7.274,0,3,203742,65185.35,0,3,30
114,43.69,3.529,130.82619350000002,6.403,0,2,93188,92010.75,1,5,11
118,70.4,3.667,138.1962667,8.982999999999999,0,3,203819,121032.31,1,5,26
138,59.15,3.448,212.8611313,8.395,0,3,39910,49811.56,0,2,10
147,46.04,2.572,214.4248812,7.367999999999999,0,3,207499,47984.81,0,5,5
155,53.68,3.596,194.7419707,6.337999999999999,0,2,57197,71878.46,0,4,37
161,53.04,2.787,126.38056670000002,7.896,0,3,205863,52820.8,0,5,17
162,68.6,2.717,136.6212085,8.433,1,2,119557,55528.81,0,5,36
176,70.31,2.885,136.55701499999998,7.982,0,3,204184,148352.67,0,5,34
183,83.03,2.582,211.1806415,8.099,0,1,42988,53739.3,0,5,37
204,63.6,3.648,129.5183333,6.877000000000001,0,3,219622,49472.94,0,5,38
208,37.13,2.7769999999999997,182.1201566,8.992,0,2,118221,48006.18,0,5,9
218,64.21,2.795,210.1000648,8.2,0,3,203750,68820.38,0,5,16
271,46.57,3.415,188.6544692,8.523,0,2,118221,50575.14,1,5,49
274,91.44,3.533,219.1501106,7.567,0,3,207499,84137.07,0,5,35
286,75.93,3.917,128.9553,8.494,0,2,126512,61934.43,0,5,16
305,80.23,3.617,129.2015806,10.640999999999998,0,3,158114,67568.98,0,5,32
318,55.33,4.055,138.0882667,8.15,0,3,203819,99002.59,1,5,19
319,50.43,3.675,130.31445159999998,11.081,0,2,112238,51153.09,1,3,4
339,83.59,3.699,214.01628050000002,8.3,0,3,184109,114635.81,0,5,22
347,47.94,3.01,210.9682412,8.395,0,3,184109,54882.58,0,5,4
360,30.51,3.14,182.517732,8.724,0,2,118221,53422.45,0,5,50
410,61.09,3.016,126.43641940000002,11.081,0,3,206302,53043.45,0,5,43
418,27.73,2.773,181.982317,8.992,1,3,200898,78058.28,0,5,6
424,74.22,3.5639999999999996,191.06460959999998,8.567,0,3,200898,118598.34,1,5,25
438,46.15,3.0389999999999997,182.7832769,8.724,1,3,200898,67019.98,0,2,47
444,89.83,3.575,215.0134426,7.852,0,3,202307,82090.98,0,5,28
453,70.09,3.884,138.3771935,8.535,0,2,120653,50124.95,1,3,35
474,72.79,3.843,129.7936774,7.874,0,1,39690,50780.84,0,5,43
479,53.15,2.9210000000000003,181.6620359,8.899,0,3,200898,98321.69,0,3,17
490,79.24,3.5010000000000003,221.38527480000002,6.891,0,3,203750,110552.52,1,5,22
494,51.08,3.01,131.9809,8.211,0,3,203819,50223.74,0,3,15
499,48.45,3.049,132.8170968,8.067,0,3,203819,50650.03,0,5,42
504,42.76,3.55,195.33189769999998,8.513,0,3,203007,54771.13,0,5,43
517,50.65,2.9019999999999997,203.6905586,7.856,0,3,203742,160455.42,0,5,16
528,54.58,2.72,211.21563500000002,8.106,0,3,151315,62781.44,0,3,11
532,37.35,3.917,137.3411034,8.658999999999999,0,3,203819,85521.34,1,5,8
548,40.19,2.572,210.75260530000003,8.324,0,3,202307,66106.91,0,3,5
551,63.04,3.6289999999999996,138.1629,7.489,0,3,152513,55790.0,1,5,25
566,56.26,4.038,130.8966452,11.081,0,3,206302,61231.19,1,5,12
569,29.97,2.742,191.0121805,9.137,1,3,203007,217015.56,0,3,47
574,71.59,3.891,220.1953389,6.989,0,3,184109,70780.79,1,5,15
577,74.14,3.688,221.36322119999997,6.891,0,1,42988,53528.59,1,5,19
607,30.59,3.141,182.54459,8.724,0,3,200898,97691.35,0,5,51
622,47.13,3.112,132.152129,8.185,0,2,123737,57158.13,0,5,19
656,71.51,3.698,138.17358059999998,4.377,0,2,114533,81356.34,1,5,31
658,80.49,3.638,222.30548050000002,6.9079999999999995,0,3,151315,50995.5,1,5,35
664,43.15,3.312,127.3009355,11.081,0,3,206302,89506.94,0,5,2
669,76.3,2.7960000000000003,136.41798269999998,8.433,0,2,119557,59172.57,0,5,28
676,55.28,3.677,129.81670970000002,7.874,0,1,39690,112152.35,1,5,45
683,56.87,2.805,126.47133329999998,7.896,0,3,205863,77370.37,0,5,16
684,32.92,2.9189999999999996,131.735,8.35,0,3,203819,55814.15,0,5,9
699,18.14,2.7710000000000004,131.5866129,8.488,1,3,152513,88291.71,0,5,6
710,37.62,2.733,126.6042857,8.316,0,3,219622,82972.46,0,5,10
728,85.61,3.7939999999999996,129.2015806,8.257,0,2,126512,76763.05,0,3,32
732,31.65,3.031,196.87289209999997,6.5889999999999995,0,3,196321,130392.27,1,5,5
742,70.91,3.7230000000000003,197.69229199999998,8.09,0,3,203007,49637.28,1,5,24
748,76.42,3.786,215.15448219999996,7.931,0,3,202307,59856.46,0,3,21
756,77.75,2.7710000000000004,204.48121880000002,7.527,0,3,203742,155098.28,0,5,29
760,52.89,3.409,218.95510019999998,7.244,1,3,184109,62831.33,1,5,6
762,36.13,2.9189999999999996,132.8170968,8.149,0,3,152513,51680.8,0,5,42
776,44.46,3.738,140.4279758,7.906000000000001,0,3,204184,90822.51,0,5,44
794,64.11,2.795,211.9442745,7.0920000000000005,0,3,202505,92119.52,0,5,16
818,46.66,3.0389999999999997,204.9621,7.484,1,3,203742,172139.24,0,5,47
838,75.53,3.863,138.1437742,8.953,0,3,203819,118515.97,1,5,32
839,82.27,2.7969999999999997,126.1283548,7.9510000000000005,0,3,219622,64701.17,0,3,29
842,63.68,3.734,220.84984680000002,7.057,0,3,202307,175208.77,1,5,11
849,74.69,3.7110000000000003,208.43868469999998,7.274,0,3,203742,98259.84,0,5,27
851,41.66,4.061,134.3571,7.6579999999999995,0,3,203819,94873.84,0,5,16
857,66.98,2.78,210.0505833,8.2,0,3,202307,75648.29,0,5,17
862,62.9,3.737,130.7929,6.235,0,2,93188,57939.29,1,5,25
877,16.94,2.891,127.19177420000001,7.47,0,3,219622,74220.3,0,3,1
882,78.47,3.966,130.97766670000001,7.17,0,1,39690,50084.66,1,5,37
886,68.72,3.948,142.59388330000002,8.839,0,2,103681,84173.15,1,3,37
933,63.97,3.873,139.00283330000002,8.252,0,2,119557,78074.66,0,5,24
943,63.61,3.8989999999999996,140.32725,7.85,0,3,204184,70484.39,0,5,38
970,71.01,3.7430000000000003,214.9420631,7.931,0,3,203750,126458.88,0,5,15
1001,38.4,3.6,133.7361429,9.131,0,2,120653,70298.53,0,5,10
1094,52.9,3.787,224.8399424,5.825,0,3,155078,58879.87,1,5,12
1104,38.16,3.112,222.87438619999998,6.122999999999999,0,3,155078,90573.29,1,5,51
1115,71.29,3.891,223.1163529,5.9639999999999995,0,3,202505,49529.07,1,5,15
1118,68.36,3.907,215.38347779999998,7.931,0,1,42988,49789.22,0,5,20
1126,67.88,3.0460000000000003,136.1489101,8.058,0,3,204184,146536.78,0,5,21
1133,52.4,3.77,129.089,7.193,0,3,219622,65412.33,0,3,19
1143,77.95,3.5010000000000003,221.7472139,7.143,0,3,151315,76925.54,1,3,22
1147,41.28,3.346,128.3995,7.47,0,3,219622,47542.49,0,3,10
1155,50.38,3.6189999999999998,130.6457931,4.607,0,3,205863,61829.76,1,5,9
1161,71.34,3.81,207.4148429,10.581,0,1,41062,60293.7,0,5,17
1170,37.16,3.4130000000000003,212.0685039,7.082000000000001,0,3,203742,62839.64,1,3,50
1171,55.33,3.162,126.66926670000001,9.003,1,2,126512,61243.46,0,2,47
1180,50.93,3.4610000000000003,128.3995,6.51,0,3,205863,64646.22,0,5,10
1183,43.64,3.752,137.62696169999998,7.827000000000001,0,3,204184,113949.39,0,5,10
1189,71.24,3.2739999999999996,218.91098440000002,6.551,0,3,202505,54408.91,0,5,41
1190,78.47,3.5610000000000004,223.3525662,5.9639999999999995,0,3,202505,50897.07,1,5,21
1191,79.3,2.565,211.15321040000003,8.099,1,1,42988,49072.1,0,5,36
1195,42.27,3.389,188.92997519999997,8.523,0,3,200898,68331.48,1,5,51
1210,69.02,3.891,221.07376380000002,6.891,0,3,203750,62406.36,1,5,14
1245,65.74,4.1339999999999995,134.7677742,8.212,0,3,203819,94550.31,0,5,21
1255,59.85,3.443,130.15751609999998,7.545,0,1,39690,62894.63,1,5,1
1261,49.47,2.9619999999999997,126.4420645,11.081,0,3,206302,68292.15,0,5,5
1279,78.26,2.783,136.41798269999998,8.861,0,2,103681,88429.68,0,3,28
1308,68.97,3.721,131.01033329999999,4.377,0,3,205863,75031.71,1,2,38
1310,55.4,4.186,142.93761669999998,8.0,0,3,204184,55242.03,1,3,41
1325,75.91,3.5469999999999997,193.711525,8.622,0,3,203007,56885.96,0,5,30
1334,80.69,2.705,211.1764278,7.808,0,3,151315,71718.04,0,3,22
1340,48.73,4.143,141.7712396,8.253,0,3,204184,69392.63,1,5,14
1343,66.97,3.877,221.2021074,6.891,0,3,203750,91464.8,1,5,16
1344,34.61,3.4389999999999996,140.64613590000002,7.502999999999999,0,2,119557,53988.6,1,5,1
1352,73.51,3.9219999999999997,208.3551116,7.287000000000001,0,3,203742,159048.48,0,5,22
1356,72.66,3.867,215.0878309,7.28,0,3,203742,51031.47,1,3,35
1358,60.31,2.846,132.76706670000002,8.117,0,3,203819,49837.83,0,5,37
1366,88.05,3.286,221.48133430000004,6.891,0,2,140167,48811.05,1,5,26
1367,59.89,3.815,135.4468,7.767,0,3,152513,83599.56,0,5,26
1381,56.6,3.7569999999999997,136.50177419999997,8.454,0,3,203819,71300.76,0,5,42
1386,69.16,3.5060000000000002,223.44425130000002,6.5729999999999995,0,3,151315,84064.59,1,5,43
1389,87.4,3.7430000000000003,129.2405806,8.257,0,2,126512,52610.15,0,5,33
1401,67.73,2.725,210.51527650000003,8.476,1,3,39910,51678.44,0,5,47
1415,86.49,3.523,214.48784159999997,8.177,0,3,184109,70232.92,0,2,34
1445,30.3,3.239,183.7016129,8.549,1,3,200898,63900.99,0,3,6
1472,70.65,3.6889999999999996,130.93254840000003,5.765,1,3,219622,68932.26,1,3,36
1480,77.53,3.7489999999999997,221.30951659999997,6.891,0,3,203750,69193.1,1,2,18
1482,64.05,4.121,131.03754840000002,11.081,0,2,112238,60792.99,1,3,14
1484,52.86,3.903,197.6063534,6.547000000000001,0,3,196321,55010.59,1,5,18
1500,71.39,3.906,219.1959827,7.574,0,3,207499,56917.85,0,5,18
1526,60.06,3.083,126.6050645,11.081,0,3,206302,50759.11,0,5,12
1553,87.84,3.533,207.62069590000002,10.640999999999998,0,1,41062,72381.16,0,5,35
1555,53.44,4.1530000000000005,138.8336129,7.992000000000001,0,3,203819,84269.04,1,5,42
1562,57.48,3.045,212.00635219999998,8.395,0,1,39910,47888.58,0,5,7
1566,25.7,3.367,136.80347700000002,7.827000000000001,0,3,204184,52194.04,0,3,2
1574,54.68,3.889,141.6269332,7.502999999999999,0,2,119557,49616.32,1,3,12
1601,88.57,3.793,129.1125,8.257,0,2,126512,53390.52,0,5,27
1602,15.33,3.542,136.85641940000002,4.377,0,2,114533,61006.43,1,5,3
1612,72.42,2.715,189.4533931,8.963,0,3,203007,53323.45,0,5,25
1637,43.33,3.0410000000000004,126.73133329999999,11.081,0,3,206302,72093.47,0,3,48
1656,66.3,3.8480000000000003,190.9964479,8.567,0,3,200898,55116.48,1,5,20
1657,75.04,3.8989999999999996,215.6124735,7.931,0,1,42988,59124.4,0,5,19
1679,50.15,3.491,195.0261012,8.513,0,3,203007,56279.62,0,5,41
1713,65.49,3.735,192.84706119999998,8.595,0,3,203007,52207.39,0,5,23
1715,57.65,3.963,130.7413793,7.545,0,2,126512,88626.32,1,5,10
1725,95.91,3.8110000000000004,130.7561613,10.925999999999998,0,2,112238,51552.33,1,5,32
1739,66.88,2.84,132.7568,8.275,0,3,203819,59803.35,0,5,39
1769,42.24,3.655,128.9553,6.774,0,2,93188,66012.51,0,5,16
1777,79.14,3.263,130.70129029999998,4.377,0,3,205863,58839.19,1,5,29
1780,58.71,2.6889999999999996,211.61350530000004,8.163,0,1,42988,47761.89,0,5,44
1781,18.75,2.7710000000000004,131.5866129,5.892,1,2,114533,50360.71,0,5,6
1785,29.81,2.773,135.4113076,9.262,1,2,103681,49079.06,0,5,6
1791,33.47,3.64,213.11861380000002,6.961,1,3,203742,53676.98,1,5,6
1792,58.24,4.018,138.7395,8.535,0,2,120653,58688.02,1,5,39
1794,63.19,3.889,214.5319099,7.138999999999999,0,3,203742,66176.24,1,2,19
1798,71.76,2.7960000000000003,132.6616129,9.342,0,2,120653,58908.95,0,5,33
1802,70.12,3.5580000000000003,198.0984199,7.872000000000001,0,3,203007,63684.54,1,5,34
1809,54.51,3.66,130.27922579999998,7.545,0,2,126512,66131.3,1,5,3
1846,65.21,2.633,213.26613730000003,7.007000000000001,0,3,202505,61405.58,0,5,40
1847,31.51,2.778,191.0303376,7.507999999999999,0,3,196321,52695.77,0,5,50
1868,59.91,2.84,132.7568,8.067,0,3,203819,108906.3,0,5,39
1875,81.13,2.759,210.5552301,8.2,0,3,202307,53838.64,0,3,21
1884,70.41,3.9419999999999997,136.183129,7.806,0,2,123737,51456.84,0,5,33
1890,82.52,3.966,131.043,7.17,0,2,126512,94653.7,1,5,39
1891,85.75,2.9389999999999996,126.19003329999998,9.199,0,2,126512,48266.23,0,3,38
1938,66.57,3.372,217.67667909999997,7.8660000000000005,0,3,151315,58438.32,0,2,43
1948,83.11,3.5260000000000002,214.79341110000001,8.177,0,3,184109,59142.5,0,5,37
1953,56.1,2.795,213.76811899999998,6.29,0,3,155078,54403.54,0,5,16
1963,77.0,3.812,186.4512115,8.625,0,3,200898,64508.84,0,3,32
1971,74.73,3.654,214.7433514,7.28,0,3,203742,55363.39,1,3,31
1994,68.26,4.025,134.94254840000002,7.6579999999999995,0,3,203819,50973.79,0,3,23
2003,44.83,3.4610000000000003,192.2691707,8.595,0,3,203007,57774.5,0,5,13
2006,50.11,2.925,126.6042857,11.081,0,3,206302,58855.44,0,5,10
2012,86.2,2.6189999999999998,211.2241759,8.099,0,2,140167,68279.02,0,5,34
2057,82.93,2.623,214.64744530000002,6.442,0,2,125833,75477.86,0,5,28
2065,59.0,3.8989999999999996,136.36700000000002,7.806,0,2,123737,52641.17,0,5,38
